,node,name,date,species,order,family,genus,rank,lon,lat
0,Araucariaceae,Araucarites rudicula,-227.0,Araucarites K.B.Presl,Pinales,Araucariaceae,Araucarites,GENUS,-108.71498,-12.125833
1,Araucariaceae,Araucarites rudicula,-227.0,Araucarites K.B.Presl,Pinales,Araucariaceae,Araucarites,GENUS,-106.930399,-2.0
2,Araucaria,Araucaria mirabilis,-157.3,Araucaria Juss,Pinales,Araucariaceae,Araucaria,GENUS,-69.828613,-49.04506
3,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,167.96456,-29.033371
4,Araucaria,Araucaria mirabilis,-157.3,Araucaria heterophylla (Salisb.) Franco,Pinales,Araucariaceae,Araucaria,SPECIES,30.375,-25.125
5,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.69777,-21.38214
6,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.5049,-21.38053
7,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.50581,-21.29021
8,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.40944,-21.28932
9,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.41041,-21.199
10,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.3141,-21.19807
11,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.70015,-21.11114
12,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.21888,-21.10677
13,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.31614,-21.01744
14,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,55.31715,-20.92712
15,Araucaria,Araucaria mirabilis,-157.3,Araucaria columnaris (J.R.Forst.) Hook,Pinales,Araucariaceae,Araucaria,SPECIES,-149.894,-17.4906
16,Araucaria,Araucaria mirabilis,-157.3,Araucaria Juss,Pinales,Araucariaceae,Araucaria,GENUS,39.183333,-9.866667
