CG Spermatophyta Cordaitales 350
CG Pinopsida Cordaixylon iowensis 307
SG Cycadaceae Primocycas chinensis 273
CG Podocarpaceae–Araucariaceae Araucarites rudicula 227
CG Pinaceae Compsostrobus neotericus 201.3
CG Taxaceae–Cupressaceae Palaeotaxus rediviva 201.3
CG Cupressaceae Austrohamia minuta 163.5
SG Araucaria Araucaria mirabilis 157.3
CG Angiosperms Unnamed 132.9
CG Eudicots Tricolpate pollen grains 125
CG Winteraceae–Canellaceae Walkeripollis gabonensis 125
CG Trimeniaceae–Schisandraceae Anacostia teixeirae 125
CG Chloranthaceae Asteropollis sp.  121
SG Pinus Pityostrobus bernissartensis 118.5
CG Monocots Liliacidites sp.  113
CG Magnoliaceae–Annonaceae–Degeneriaceae–Eupomatiaceae–Himantandraceae Endressinia brasiliana 113
CG Ranunculales Teixeiraea lusitanica 113
CG Nymphaeaceae Monetianthus mirus 113
CG Laurales Virginianthus calycanthoides 104.7
CG Proteales Platanocarpus brookensis 104.7
SG Buxales Spanomera marylandensis 100.5
CG Monimiaceae–Lauraceae–Hernandiaceae Mauldinia mirabilis 100.5
CG Pentapetalae Pentamerous flower 100.5
CG Fagales Caryanthus triasseris 93.9
SG Brassicales Dressiantha bicarpelata 89.8
CG Saxifragales Microaltingia apocarpela 89.8
CG Myrtales Esgueiria sp.  89.8
CG Cornales Hironoia fusiformis 89.8
CG Ericales Paleoenkianthus sayrevillensis 89.8
SG Clusiaceae Paleoclusia chevalieri 89.8
SG Annonaceae Futabanthus asamigawaensis 89.8
CG Arecales Sabal magothiensis 86.3
SG Myrtaceae Flower number 3 83.6
SG Juglandaceae–Myricaceae Caryanthus sp.  83.6
CG Actinidiaceae Parasaurauia allonensis 83.6
CG Hamamelidoideae Allonia decandra 83.6
SG Paracryphiaceae Silvianthemum suecicum 78.9
SG Cunoniaceae Platydiscus peltatus 78.9
SG Zingiberales Spirematospermum chandlerae 77.8
CG Asteraceae Tubulifloridites lilliei 72.1
SG Rhamnaceae Coahuilanthus belindae 72.1
CG Amaranthaceae Polyporina cribraria 66
CG Cannabaceae Aphananthe cretacea 66
CG Sabiaceae Sabia microsperma 66
CG Rutaceae Rutaspermum biornatum 66
CG Juglandaceae Polyptera manningi 64.4
CG Elaeocarpaceae Sloanea ungeri 61.6
SG Thuja Thuja Polaris 59.2
CG Torricelliaceae Toricellia bonesii 56
CG Sapindaceae Aesculus hickeyi 56
CG Vitaceae Ampelocissus parvisemina 56
CG Myrtaceae Paleomyrtinaea princetonensis 56
SG Dioon Dioon praespinulosum 56
SG Puelioideae Unnamed 56
SG Rhododendron Rhododendron newburyanum 56
SG Physalis Physalis infinemundi 52.2
SG Prunus Prunus cathybrownae 49.4
CG Meliaceae Toona sulcata 47.8
SG Anacardium Anacardium germanicum 47.8
CG Tapisciaceae Tapiscia occidentalis 37.8
CG Araliaceae Paleopanax oregonensis 37.8
SG Lepidozamia Lepidozamia foveolata 33.9
