#Angiosperms,Unnamed,132.9
#Eudicots,Tricolpate pollen grains,125
#Spermatophyta,Cordaitales,350
#node,fossil,time(mya)
Actinidiaceae,Parasaurauia allonensis,83.6
Amaranthaceae,Polyporina cribraria,66
Anacardium,Anacardium germanicum,47.8
Annonaceae,Endressinia brasiliana,113
Annonaceae,Futabanthus asamigawaensis,89.8
Araliaceae,Paleopanax oregonensis,37.8
Araucaria,Araucaria mirabilis,157.3
Araucariaceae,Araucarites rudicula,227
Arecales,Sabal magothiensis,86.3
Asteraceae,Tubulifloridites lilliei,72.1
Brassicales,Dressiantha bicarpelata,89.8
Buxales,Spanomera marylandensis,100.5
Canellaceae,Walkeripollis gabonensis,125
Cannabaceae,Aphananthe cretacea,66
Chloranthaceae,Asteropollis sp.,121
Clusiaceae,Paleoclusia chevalieri,89.8
Cornales,Hironoia fusiformis,89.8
Cunoniaceae,Platydiscus peltatus,78.9
Cupressaceae,Austrohamia minuta,163.5
Cupressaceae,Palaeotaxus rediviva,201.3
Cycadaceae,Primocycas chinensis,273
Dioon,Dioon praespinulosum,56
Elaeocarpaceae,Sloanea ungeri,61.6
Ericales,Paleoenkianthus sayrevillensis,89.8
Eupomatiaceae,Endressinia brasiliana,113
Fagales,Caryanthus triasseris,93.9
Hamamelidoideae,Allonia decandra,83.6
Hernandiaceae,Mauldinia mirabilis,100.5
Juglandaceae,Caryanthus sp.,83.6
Juglandaceae,Polyptera manningi,64.4
Lauraceae,Mauldinia mirabilis,100.5
Laurales,Virginianthus calycanthoides,104.7
Lepidozamia,Lepidozamia foveolata,33.9
Magnoliaceae,Endressinia brasiliana,113
Meliaceae,Toona sulcata,47.8
Monimiaceae,Mauldinia mirabilis,100.5
Monocots,Liliacidites sp.,113
Myricaceae,Caryanthus sp.,83.6
Myrtaceae,Myrtaceae,83.6
Myrtaceae,Paleomyrtinaea princetonensis,56
Myrtales,Esgueiria sp.,89.8
Nymphaeaceae,Monetianthus mirus,113
Paracryphiaceae,Silvianthemum suecicum,78.9
Pentapetalae,Pentapetalae,100.5
Physalis,Physalis infinemundi,52.2
Pinaceae,Compsostrobus neotericus,201.3
Pinopsida,Cordaixylon iowensis,307
Pinus,Pityostrobus bernissartensis,118.5
Podocarpaceae,Araucarites rudicula,227
Proteales,Platanocarpus brookensis,104.7
Prunus,Prunus cathybrownae,49.4
Puelioideae,Puelioideae,56
Ranunculales,Teixeiraea lusitanica,113
Rhamnaceae,Coahuilanthus belindae,72.1
Rhododendron,Rhododendron newburyanum,56
Rutaceae,Rutaspermum biornatum,66
Sabiaceae,Sabia microsperma,66
Sapindaceae,Aesculus hickeyi,56
Saxifragales,Microaltingia apocarpela,89.8
Schisandraceae,Anacostia teixeirae,125
Tapisciaceae,Tapiscia occidentalis,37.8
Taxaceae,Palaeotaxus rediviva,201.3
Thuja,Thuja,59.2
Torricelliaceae,Toricellia bonesii,56
Trimeniaceae,Anacostia teixeirae,125
Vitaceae,Ampelocissus parvisemina,56
Winteraceae,Walkeripollis gabonensis,125
Zingiberales,Spirematospermum chandlerae,77.8
